 

stn    time           gre000z0  prestas0  ure200s0
THU    202405060350          0     943.6      99.3
THU    202405060400          0     943.6      99.3
THU    202405060410          0     943.8      99.3
THU    202405060420          0     943.6      99.3
THU    202405060430          2     943.7      99.3
THU    202405060440          2     943.9      99.3
THU    202405060450          2     943.8      99.3
THU    202405060500          4     943.7      99.3
THU    202405060510          3     943.8      99.3
THU    202405060520         13     943.6      99.3
THU    202405060530         43     943.4      99.3
THU    202405060540         56     943.3      99.3
THU    202405060550         33     943.3      99.3
THU    202405060600         45     943.3      99.3
THU    202405060610         86     943.1      99.3
THU    202405060620         73     943.1      99.3
THU    202405060630         87     943.1      99.3
THU    202405060640         78     943.1      99.3
THU    202405060650        115     943.2      99.2
THU    202405060700         81     943.3      99.2
THU    202405060710         53     943.3      99.2
THU    202405060720         37     943.3      99.2
THU    202405060730         46     943.4      99.2
THU    202405060740         56     943.5      99.2
THU    202405060750         61     943.5      99.2
THU    202405060800         77     943.5      99.2
THU    202405060810         64     943.6      99.2
THU    202405060820         63     943.5      99.2
