 

stn    time           tre200s0  tpo200s0
THU    202405061440       13.3      17.9
THU    202405061450       13.3      17.9
THU    202405061500       13.3      17.9
THU    202405061510       13.1      17.7
THU    202405061520       13.1      17.7
THU    202405061530       13.6      18.2
THU    202405061540       13.3      17.9
THU    202405061550       13.1      17.6
THU    202405061600       13.1      17.6
THU    202405061610       13.0      17.5
THU    202405061620       12.8      17.3
THU    202405061630       12.6      17.1
THU    202405061640       12.7      17.2
THU    202405061650       12.6      17.1
THU    202405061700       12.4      16.9
THU    202405061710       12.3      16.8
THU    202405061720       12.3      16.8
THU    202405061730       12.2      16.7
THU    202405061740       12.2      16.7
THU    202405061750       12.2      16.7
THU    202405061800       12.1      16.6
THU    202405061810       12.0      16.5
THU    202405061820       12.0      16.5
THU    202405061830       11.8      16.3
THU    202405061840       11.7      16.2
THU    202405061850       11.6      16.1
THU    202405061900       11.6      16.1
THU    202405061910       11.5      16.0
THU    202405061920       11.5      15.9
THU    202405061930       11.5      15.9
THU    202405061940       11.4      15.8
THU    202405061950       11.4      15.8
THU    202405062000       11.4      15.8
THU    202405062010       11.1      15.5
THU    202405062020       11.2      15.6
THU    202405062030       11.2      15.6
THU    202405062040       11.2      15.6
THU    202405062050       11.1      15.5
THU    202405062100       11.1      15.5
THU    202405062110       11.1      15.5
THU    202405062120       11.2      15.6
THU    202405062130       11.1      15.5
THU    202405062140       11.1      15.5
THU    202405062150       11.0      15.4
THU    202405062200       10.9      15.3
THU    202405062210       10.7      15.1
THU    202405062220       10.3      14.7
THU    202405062230       10.0      14.3
THU    202405062240       10.1      14.4
THU    202405062250       10.0      14.3
THU    202405062300       10.0      14.4
THU    202405062310        9.9      14.2
THU    202405062320        9.9      14.2
THU    202405062330        9.9      14.2
THU    202405062340        9.9      14.2
THU    202405062350        9.9      14.2
THU    202405070000        9.9      14.2
THU    202405070010        9.9      14.2
THU    202405070020        9.9      14.2
THU    202405070030        9.8      14.1
