term,estimate,std.error,statistic,p.value,significant
BH_25:WT,0.003661357,0.003512378,1.042415543,0.297310693,FALSE
BH_25:GWT26_Z50012,0.045488231,0.043748487,1.039766961,0.298539589,FALSE
NDVI:GWT26_Z5003,1.594712399,1.54058466,1.035134543,0.300697098,FALSE
GA_1000:WS_3d,-0.129709433,0.125323466,-1.034997174,0.300761235,FALSE
NDVI:WD_8W,-1.548279482,1.508884217,-1.026108872,0.304930516,FALSE
FO_500:AT,-0.204666322,0.199473089,-1.026034753,0.304965444,FALSE
BH_25:GWT26_Z50015,0.066463245,0.065720282,1.01130493,0.311959477,FALSE
SE_50:WD_L_8_3dNE,-0.59210107,0.586640039,-1.009308998,0.312915263,FALSE
FO_500:WD_L_8_3dSW,-3.496267892,3.47086961,-1.007317556,0.313870819,FALSE
FO_500:GWT26_Z50015,7.970030161,7.927466505,1.005369137,0.314807588,FALSE
GA_1000:GWT26_Z50019,-1.004756619,1.000529966,-1.004224414,0.315358809,FALSE
FO_500:WD_L_8S,-4.822853424,4.865938262,-0.991145626,0.321701676,FALSE
BH_25:GWT26_Z5008,0.04542041,0.045830829,0.991044914,0.32175084,FALSE
NDVI:GWT26_Z50016,-2.139579263,2.172748439,-0.984734001,0.324841375,FALSE
GWT26_Z5008,-1.179082806,1.231917831,-0.957111567,0.338595078,FALSE
SLO:WD_L_8NE,0.049131504,0.051530141,0.953451761,0.340445023,FALSE
SLO:WD_L_8W,0.045344038,0.047852551,0.947578284,0.343427443,FALSE
BH_25:GWT26_Z50016,-0.13752094,0.146273477,-0.9401632,0.347216427,FALSE
