hour,Log_NR,T_mean,H_mean,UHI_mean,HI_mean
12,Log_426,16.7842390298589,66.82500157148732,-2.2488138823730277,16.27395283018868
12,Log_427,19.43376211184863,60.25581350568762,0.5868567716574653,19.042255238095237
12,Log_428,19.180913536009392,60.765318472156814,0.3078545476625479,18.776808429118773
12,Log_429,19.4279171625118,62.09410468273658,0.5620316672859059,19.107710727969348
12,Log_430,18.644873030760376,66.47986940016551,-0.21968196595542694,18.344212643678162
12,Log_431,19.412085950428644,61.705178918051075,0.38767024037382375,19.073549309664696
12,Log_432,18.932385970993415,63.12799242449218,-0.09062343969257934,18.56586111111111
12,Log_433,19.467044445061862,61.49318507532415,0.563452231843883,19.122955684007707
12,Log_434,19.231037057959572,63.70214222418461,-0.6539315529257289,18.89922222222222
12,Log_435,18.832414751272413,72.08558194608132,-0.2736643380072381,18.704328157349895
12,Log_436,18.97963405690204,62.098660638618,0.12394657117062088,18.58978227360308
12,Log_437,18.391289971857923,63.71865229958097,-0.3488459386548197,17.97896685082873
12,Log_438,19.282480523553996,62.22227361545569,0.32107804604371326,18.934023809523808
13,Log_401,19.792036874765717,62.48766972464087,0,19.521777120315583
13,Log_402,20.255958580333107,62.56346541717248,0.4639217055673911,20.058633136094674
13,Log_403,19.615793049130197,65.61918805305926,-1.8418794998711374,19.38956397306397
13,Log_404,19.012032945141208,60.479334866408564,-0.08584900877831672,18.582698717948716
13,Log_405,19.43708659700732,63.93462104483727,-0.2577138569224418,19.168152215799616
13,Log_406,20.269081825843404,58.09498325844211,0.5271867555928553,19.914538535645473
13,Log_407,19.68182737959522,60.129818297096094,-0.0016069657434958256,19.322411368015416
13,Log_408,20.242643879860633,59.441435692305454,0.6031796174981553,19.928328571428573
13,Log_409,20.187104737673785,66.73998148716304,0.011396976448943597,20.09976595744681
13,Log_410,19.30125865737562,63.275419535406634,-0.394488152362688,19.000780651340996
13,Log_411,19.9500568068375,59.85788581614902,0.43803031308533374,19.619639042357274
13,Log_412,20.815716047420892,56.685690512047096,0.5729184370201412,20.476059447983015
13,Log_413,18.943376787929118,61.045243328781936,-0.7106227164449869,18.521098659003833
13,Log_414,20.130843868790365,60.70415058693213,0.04256265631978634,19.84465359477124
13,Log_416,19.99383498029337,60.52809236647584,0.2802680669027396,19.688374759152214
13,Log_417,17.683364427394334,67.03197362841064,-2.103211469828545,17.26710398860399
13,Log_418,18.104262862083875,67.54821087968261,-1.5479024563263166,17.754681904761906
13,Log_420,20.537559526080212,59.3506896760001,0.6354161500851961,20.26108125
13,Log_421,19.847153417772436,61.62335453957363,0.15838973829272593,19.551508620689656
13,Log_422,18.645427379771622,65.35184854822374,-1.1551318468277112,18.299103921568626
13,Log_423,19.88589978681217,60.290506199050725,0.22502606749574022,19.55141570881226
13,Log_424,19.57338025628726,64.41635004927026,-0.10896442706661556,19.362496168582375
13,Log_425,19.574301803416017,64.36861905081177,-0.23137698030121928,19.33590909090909
13,Log_426,17.474757928886323,64.77337513136422,-2.4355939703041405,16.987908902691512
13,Log_427,20.42027161058976,57.74939309056956,0.7857895543116594,20.074753333333334
13,Log_428,20.140655296064487,58.31000537281269,0.45985932957515957,19.775754789272032
13,Log_429,20.477277869419606,59.59740386158489,0.7978360555037141,20.2175
13,Log_430,19.385990968492486,64.35026755778172,-0.14957005101354534,19.140714147286822
13,Log_431,20.196473578297965,59.68381255923345,0.4177482506399794,19.8947225433526
13,Log_432,19.793775482101353,61.28930977582264,-0.025210129447369202,19.489787601626016
